Company Name,Avantis Investors
Fund Ticker,AVRE
Fund Name,Avantis Real Estate ETF
Inception Date,09/28/2021

As of date,12/21/2023

CUSIPS that are only 8 digits have had their leading zeros truncated.

ISSUER,CUSIP,ISIN,SHARES/PRINCIPAL/NOTIONAL AMOUNT,CONTRACT COUNT,MARKET VALUE ($),WEIGHT,COUPON,MATURITY,COUNTRY
PROLOGIS INC REIT USD.01,74340W103,US74340W1036,213336,0,27938482.56,6.99%,0,--,UNITED STATES
AMERICAN TOWER CORP REIT USD.01,03027X100,US03027X1000,111891,0,23976003.48,6.00%,0,--,UNITED STATES
EQUINIX INC REIT USD.001,29444U700,US29444U7000,24570,0,19695312.00,4.93%,0,--,UNITED STATES
WELLTOWER INC REIT USD1.0,95040Q104,US95040Q1040,140033,0,12595968.35,3.15%,0,--,UNITED STATES
PUBLIC STORAGE REIT USD.1,74460D109,US74460D1090,40502,0,12034764.28,3.01%,0,--,UNITED STATES
SIMON PROPERTY GROUP INC REIT USD.0001,828806109,US8288061091,81061,0,11528495.42,2.89%,0,--,UNITED STATES
CROWN CASTLE INC REIT USD.01,22822V101,US22822V1017,92169,0,10562567.40,2.64%,0,--,UNITED STATES
DIGITAL REALTY TRUST INC REIT USD.01,253868103,US2538681030,77751,0,10489387.41,2.63%,0,--,UNITED STATES
REALTY INCOME CORP REIT USD1.0,756109104,US7561091049,171049,0,9742951.04,2.44%,0,--,UNITED STATES
GOODMAN GROUP REIT,B03FYZ909,AU000000GMG2,541944,0,9071001.24,2.27%,0,--,AUSTRALIA
VICI PROPERTIES INC REIT USD.01,925652109,US9256521090,259727,0,8160622.34,2.04%,0,--,UNITED STATES
EXTRA SPACE STORAGE INC REIT USD.01,30225T102,US30225T1025,51532,0,8044145.20,2.01%,0,--,UNITED STATES
AVALONBAY COMMUNITIES INC REIT USD.01,053484101,US0534841012,36372,0,6788833.80,1.70%,0,--,UNITED STATES
SBA COMMUNICATIONS CORP REIT USD.01,78410G104,US78410G1040,23808,0,5995092.48,1.50%,0,--,UNITED STATES
EQUITY RESIDENTIAL REIT USD.01,29476L107,US29476L1070,96370,0,5861223.40,1.47%,0,--,UNITED STATES
ALEXANDRIA REAL ESTATE EQUIT REIT USD.01,015271109,US0152711091,42600,0,5490714.00,1.37%,0,--,UNITED STATES
INVITATION HOMES INC REIT USD.01,46187W107,US46187W1071,158637,0,5428558.14,1.36%,0,--,UNITED STATES
VENTAS INC REIT USD.25,92276F100,US92276F1003,94646,0,4675512.40,1.17%,0,--,UNITED STATES
LINK REIT REIT,B0PB4M906,HK0823032773,774228,0,4317016.13,1.08%,0,--,HONG KONG
ESSEX PROPERTY TRUST INC REIT USD.0001,297178105,US2971781057,17551,0,4249448.12,1.06%,0,--,UNITED STATES
SUN COMMUNITIES INC REIT USD.01,866674104,US8666741041,30856,0,4094282.64,1.02%,0,--,UNITED STATES
MID AMERICA APARTMENT COMM REIT USD.01,59522J103,US59522J1034,28516,0,3764967.48,0.94%,0,--,UNITED STATES
SEGRO PLC REIT GBP.1,B5ZN1N909,GB00B5ZN1N88,322617,0,3667074.34,0.92%,0,--,UNITED KINGDOM
KLEPIERRE REIT EUR1.4,758255905,FR0000121964,128971,0,3515364.30,0.88%,0,--,FRANCE
HOST HOTELS + RESORTS INC REIT USD.01,44107P104,US44107P1049,177200,0,3467804.00,0.87%,0,--,UNITED STATES
KIMCO REALTY CORP REIT USD.01,49446R109,US49446R1095,150150,0,3279276.00,0.82%,0,--,UNITED STATES
WP CAREY INC REIT USD.001,92936U109,US92936U1097,47940,0,3118017.60,0.78%,0,--,UNITED STATES
UDR INC REIT USD.01,902653104,US9026531049,82628,0,3080371.84,0.77%,0,--,UNITED STATES
GAMING AND LEISURE PROPERTIE REIT,36467J108,US36467J1088,63274,0,3064359.82,0.77%,0,--,UNITED STATES
EQUITY LIFESTYLE PROPERTIES REIT USD.01,29472R108,US29472R1086,42606,0,3025452.06,0.76%,0,--,UNITED STATES
AMERICAN HOMES 4 RENT  A REIT USD.01,02665T306,US02665T3068,83936,0,3010784.32,0.75%,0,--,UNITED STATES
REGENCY CENTERS CORP REIT USD.01,758849103,US7588491032,44962,0,2992670.72,0.75%,0,--,UNITED STATES
GECINA SA REIT EUR7.5,774246904,FR0010040865,24598,0,2977280.52,0.75%,0,--,FRANCE
REXFORD INDUSTRIAL REALTY IN REIT USD.01,76169C100,US76169C1009,51255,0,2849265.45,0.71%,0,--,UNITED STATES
CAPITALAND ASCENDAS REIT REIT,656387909,SG1M77906915,1225000,0,2723170.06,0.68%,0,--,SINGAPORE
HEALTHPEAK PROPERTIES INC REIT USD1.0,42250P103,US42250P1030,136108,0,2640495.20,0.66%,0,--,UNITED STATES
CAPITALAND INTEGRATED COMMER REIT,642012900,SG1M51904654,1713500,0,2579342.94,0.65%,0,--,SINGAPORE
CUBESMART REIT USD.01,229663109,US2296631094,56017,0,2573981.15,0.64%,0,--,UNITED STATES
CAMDEN PROPERTY TRUST REIT USD.01,133131102,US1331311027,25968,0,2525128.32,0.63%,0,--,UNITED STATES
STOCKLAND REIT NPV,685085003,AU000000SGP0,837815,0,2523545.41,0.63%,0,--,AUSTRALIA
NIPPON BUILDING FUND INC REIT,639680909,JP3027670003,567,0,2442980.37,0.61%,0,--,JAPAN
AMERICOLD REALTY TRUST INC REIT USD.01,03064D108,US03064D1081,77449,0,2312627.14,0.58%,0,--,UNITED STATES
EASTGROUP PROPERTIES INC REIT,277276101,US2772761019,12481,0,2277782.50,0.57%,0,--,UNITED STATES
LAMAR ADVERTISING CO A REIT USD.001,512816109,US5128161099,20695,0,2202361.90,0.55%,0,--,UNITED STATES
OMEGA HEALTHCARE INVESTORS REIT USD.1,681936100,US6819361006,70900,0,2178048.00,0.55%,0,--,UNITED STATES
FEDERAL REALTY INVS TRUST REIT USD.01,313745101,US3137451015,20094,0,2098818.30,0.53%,0,--,UNITED STATES
GPT GROUP REIT,636586000,AU000000GPT8,653879,0,2056146.47,0.51%,0,--,AUSTRALIA
TRUST FIBRA UNO REIT,B671GT907,MXCFFU000001,1093105,0,1946563.80,0.49%,0,--,MEXICO
STAG INDUSTRIAL INC REIT USD.01,85254J102,US85254J1025,50055,0,1939130.70,0.49%,0,--,UNITED STATES
LAND SECURITIES GROUP PLC REIT GBP.1066667,BYW0PQ906,GB00BYW0PQ60,208281,0,1906475.05,0.48%,0,--,UNITED KINGDOM
MIRVAC GROUP REIT,616197901,AU000000MGR9,1337162,0,1883532.88,0.47%,0,--,AUSTRALIA
NNN REIT INC REIT USD.01,637417106,US6374171063,43937,0,1873913.05,0.47%,0,--,UNITED STATES
JAPAN REAL ESTATE INVESTMENT REIT,639758903,JP3027680002,465,0,1867304.13,0.47%,0,--,JAPAN
FIRST INDUSTRIAL REALTY TR REIT USD.01,32054K103,US32054K1034,32523,0,1692822.15,0.42%,0,--,UNITED STATES
UNITE GROUP PLC/THE REIT GBP.25,069286904,GB0006928617,124358,0,1645482.45,0.41%,0,--,UNITED KINGDOM
DEXUS/AU REIT,B033YN903,AU000000DXS1,309050,0,1621214.09,0.41%,0,--,AUSTRALIA
NOMURA REAL ESTATE MASTER FU REIT,ACI0GQTT6,JP3048110005,1399,0,1592905.42,0.40%,0,--,JAPAN
VICINITY CENTRES REIT,BY7QXS904,AU000000VCX7,1138551,0,1550392.40,0.39%,0,--,AUSTRALIA
RYMAN HOSPITALITY PROPERTIES REIT USD.01,78377T107,US78377T1079,14187,0,1545248.04,0.39%,0,--,UNITED STATES
MERLIN PROPERTIES SOCIMI SA REIT EUR1.0,BNGNB7905,ES0105025003,138134,0,1527231.96,0.38%,0,--,SPAIN
BRITISH LAND CO PLC REIT GBP.25,013670005,GB0001367019,295584,0,1523139.92,0.38%,0,--,UNITED KINGDOM
WAREHOUSES DE PAUW SCA REIT,ACI1HPHT8,BE0974349814,48658,0,1516516.08,0.38%,0,--,BELGIUM
